JOB Role,Company,Salary,Location
Lead  Digital Infrastructure,Reliance New Energy,Competitive salary,Navi Mumbai
Lead  Data Ops,Reliance New Energy,Competitive salary,Navi Mumbai
Lead  Advanced Analytics (Intelligence Services),Reliance New Energy,Competitive salary,Navi Mumbai
Digital Lead - Site Operations,Reliance New Energy,Competitive salary,Navi Mumbai
Manager Infra (Production Floor Network),Reliance New Energy,Competitive salary,Navi Mumbai
Client Engagement Manager,Intertec Softwares Pvt Ltd,Competitive salary,Mumbai
Oracle OTM Specialist,Agodly Infotech LLP,"₹ 28,00,000 - 30,00,000","Chennai, Gurgaon, Pune, Hyderabad, Bangalore"
MLOps Engineer Remote,Agodly Infotech LLP,Competitive salary,Work from home
Department Manager,Reliance Retail,"₹ 3,00,000 - 4,00,000","Thiruvananthapuram, Muvattupuzha"
L3- Network & Security O&M,Jio,Competitive salary,Hyderabad
Account Executive,One Plus Staffing Solution,Competitive salary,"Ahmedabad, Sanand"
React Native Developer,Colan Infotech Private Limited,Competitive salary,Chennai
Key Account Manager - Genset Industry,Goel Power Engineers,Competitive salary,"Navi Mumbai, Mumbai"
Sales Engineer - Genset Industry,Goel Power Engineers,Competitive salary,"Navi Mumbai, Mumbai"
Senior Purchasing Executive,Manfront Staffing Services Pvt.Ltd.,"₹ 3,60,000 - 4,80,000",Indore
Sr.Manager Finance & Accounts,Olive Trees Consulting,"₹ 10,00,000 - 15,00,000",Mumbai
GC-MS Analyst,Manfront Staffing Services Pvt.Ltd.,"₹ 3,24,000 - 4,20,000",Indore
D365 F & O Security & Environment Support,Olive Trees Consulting,"₹ 11,00,000 - 16,00,000",Work from home
Project Engineer - Genset Industry,Goel Power Engineers,Competitive salary,"Ahmedabad, Mumbai"
Service Engineer - Genset Industry,Goel Power Engineers,Competitive salary,"Ahmedabad, Surat, Vadodara, Mumbai"
Chartered Accountant,One Plus Staffing Solution,"₹ 5,00,000 - 9,00,000","Ahmedabad, Sanand"
Purchasing Executive,Techflow Enterprises Pvt. Ltd.,Competitive salary,Ahmedabad
Datamodeling,Zensar Technologies,Competitive salary,"Chennai, Pune, Hyderabad, Bangalore"
Primary English Teacher For CBSE School,DBK Public School In  Narwana Haryana,"₹ 2,40,000 - 3,00,000",Jind
TGT Social Science Teacher For CBSE School,DBK Public School In  Narwana Haryana,"₹ 3,20,000 - 4,00,000",Jind
"TGT English Teacher For CBSE School In Narwana, Haryana",DBK Public School In  Narwana Haryana,Competitive salary,Narwana
Freelance Interviewer-SAP Basis Consultant,Futuremug,"₹ 6,24,000 - 12,48,000",Thiruvananthapuram
Account Specialist,One Plus Staffing Solution,"₹ 5,00,000 - 8,40,000",Ahmedabad
Account Manager,One Plus Staffing Solution,"₹ 8,00,000 - 14,40,000",Ahmedabad
Junior Power BI,Ultrafly Solutions Private Limited,Competitive salary,Coimbatore
Pipeline Design Engineer,Petro Manpower Engineering Consultant,Competitive salary,Mumbai
Sales Manager - B2B,KBros Aristo Pvt Ltd,"₹ 3,00,000 - 3,60,000",Kannur
Digital Marketing -Leads,Ultrafly Solutions Private Limited,Competitive salary,Coimbatore
Assistant Manager  Electrical Engineering,Reliance Retail,Competitive salary,Chennai
Market Research Analyst,Market Expertise,"₹ 3,00,000 - 4,20,000",Pune
Technical Support Executive / Service Technician,Almighty HRD Consultants,"₹ 3,00,000 - 4,50,000","Chennai, Kozhikode, Pune Division"
Business Development Executive For IT Company,Colan Infotech Private Limited,Competitive salary,Chennai
Piping Layout Engineer,Petro Manpower Engineering Consultant,Competitive salary,Vadodara
RTL Developer,TEQ DILIGENT PRODUCT SOLUTIONS PRIVATE LIMITED,Competitive salary,Ahmedabad
Breeder R&D Farms - Bioenergy Business,Reliance New Energy,Competitive salary,"Jamnagar, Kakinada"
Senior Sales Engineer (AHU/HVAC) Surat,Synergy Resource Solutions,"₹ 6,00,000 - 7,00,000",Surat
B2B Sales Executive,Moustache Escapes,Competitive salary,Delhi
Business Development Executive - Power Sector,Synergy Resource Solutions,"₹ 3,00,000 - 5,00,000",Ahmedabad
AI/ML Engineer,Muks Robotics  The AI Robotics Company,Competitive salary,"Pune, Pune Division"
Google Ads Executive,Synergy Resource Solutions,"₹ 2,16,000 - 3,00,000",Ahmedabad
Head Search Engine Optimization,Passionfruit,Competitive salary,Delhi
Search Engine Optimization Team Lead,Passionfruit,Competitive salary,Delhi
"Technical Pre Sales Engineer(Exp-3-4yrs,Immediate)",VectorStack,Competitive salary,Bangalore
Video Headend Engineer,Jio,Competitive salary,Navi Mumbai
Human Resources Manager,GREATBELL HR Consultancy Services PVT LTD,"₹ 5,40,000 - 6,00,000","Coimbatore, Mysuru, Ooty, Wayanad, Ernakulam, Salem, Cochin"
Digital Account Manager- USA,Blurbpoint Media,Competitive salary,"Gurgaon, Udaipur, Bhopal, Mumbai, Jaipur, Noida, Pune Division"
Interior Designer - Modulars ( Thane),Interior Company,Competitive salary,Thane
Shift Superintendent Electrical  CTU,Reliance Industries Limited,Competitive salary,Jamnagar
Customer Care Executive - Sales,One Plus Staffing Solution,"₹ 2,40,000 - 3,00,000","Ahmedabad, Rajkot, Nagpur"
Insurance Executive,One Plus Staffing Solution,Competitive salary,Ahmedabad
Hardware Design Engineer,Nexstem,Competitive salary,Bangalore
C++ Backend Engineer (Systems),Nexstem,Competitive salary,Bangalore
Planning Engineers Oil & Gas,Wings Global Services,"₹ 12,00,000 - 18,00,000",Mumbai
Astronomy & Space Tutor (M.Sc/B.Sc In Physics),Navars Edutech Private Limited,"₹ 3,21,600 - 4,02,000",Hyderabad
Assistant Manager - Quality Assurance,Vilvah Store Private Limited,Competitive salary,Coimbatore
Opportunity For Oncology Nurse,Sir H.N. Reliance Foundation Hospital & Research Centre,Competitive salary,Mumbai
Webflow Website Designer,TeachEdison,Competitive salary,Coimbatore
Service Advisor,One Plus Staffing Solution,"₹ 3,00,000 - 4,20,000","Ahmedabad, Nagpur"
Hardware Testing Engineer(Fresher) Ahmedabad,Synergy Resource Solutions,"₹ 2,40,000 - 3,00,000",Ahmedabad
Sales Engineer(Capital Equipment) Baroda,Synergy Resource Solutions,"₹ 3,00,000 - 4,00,000",Vadodara
Autocad Drafter,Sri Sai Overseas Recruitment,Competitive salary,Vadodara
Devops Engineer (Groovy),Kiash Solutions LLP,Competitive salary,Hyderabad
Electrical Designer 3D (Power Plant),Petro Manpower Engineering Consultant,Competitive salary,Vadodara
Administrative Officer,Podar Education Network,"₹ 4,20,000 - 6,00,000","Katni, Gwalior"
Administrative Officer,Podar Education Network,Competitive salary,"Kalyan, Mumbai"
Sports Teacher,Podar Education Network,Competitive salary,Chhindwara
