JOB Role,Company,Salary,Location
Openstack SME,Jio,Competitive salary,"Bhubaneswar, Delhi, Pune, Mumbai"
Administrative Officer,Podar Education Network,"₹ 2,40,000 - 4,80,000",Udupi
Team Member - Technical Training,Suzlon Group,Competitive salary,"Vijayawada, Uravakonda"
Senior Human Resources Manager,Agrinext Consultancy,"₹ 7,00,000 - 8,00,000",Delhi
US Freight Brokerage (Mohali),Woodsforce Solutions,"₹ 5,00,000 - 6,00,000","Chandigarh, Kharar, Mohali"
Dy Manager  HR Training & Development (Hospital),Hire Xpert,"₹ 10,00,000 - 12,00,000",Bangalore
PGT Commerce & Economics At PIS Sangli,Podar Education Network,"₹ 3,60,000 - 4,20,000",Sangli
Ophthalmologist,Spandana Hospital,Competitive salary,Bangalore
Bankruptcy QC Associate,Kiash Solutions LLP,"₹ 3,00,000 - 5,00,000",Vadodara
Project Engineer,Safety Projects Pvt Ltd,Competitive salary,Mumbai
Business Developement Manager (IT Solutions),Intertec Softwares Pvt Ltd,Competitive salary,Mumbai
Senior Software Engineer  Angular & Azure,Kiash Solutions LLP,"₹ 15,00,000 - 20,00,000",Work from home
Principal Software Engineer  Angular & Azure,Kiash Solutions LLP,"₹ 25,00,000 - 30,00,000",Work from home
Software Developer ASP.NET MVC,Vivanta Industries Limited,"₹ 5,00,000 - 6,00,000",Ahmedabad
HR Executive,ABABIL HEALTHCARE,"₹ 2,16,000 - 3,00,000",Chennai
Customer  Support For Voice Process @ Gurgaon,Sana Search International,"₹ 3,00,000 - 4,80,000",Delhi
Amadeus Travel Consultant@Tamil Nadu,Sana Search International,"₹ 5,50,000 - 7,00,000",Chennai
Security Manager - Hotel Industry,Gamut HR Solutions,"₹ 3,00,000 - 4,20,000",Hyderabad
Post Order Executive,Gamut HR Solutions,"₹ 3,00,000 - 4,20,000",Hyderabad
Interiors Lightening Designer,Gamut HR Solutions,"₹ 3,60,000 - 5,40,000",Hyderabad
Accounts Payable (AP),Gamut HR Solutions,"₹ 3,60,000 - 4,80,000",Hyderabad
Nurse Manager   Oncology Daycare,Sir H.N. Reliance Foundation Hospital & Research Centre,Competitive salary,Mumbai
Google Ads Expert,Satya Satellite IT Solutions,"₹ 2,00,000 - 5,00,000",Jaipur
Graphic & Video Designer,Sri Sai Overseas Recruitment,"₹ 3,00,000 - 4,20,000",Naroda
Company Secretary,Vivanta Industries Limited,"₹ 7,00,000 - 9,00,000",Ahmedabad
Odoo Developer,Vivanta Industries Limited,Competitive salary,Ahmedabad
Candid Wedding Photographer,Huemn,"₹ 2,40,000 - 3,60,000",Hyderabad
Jr. Business Analyst,Xomic Infotech Private Limited,"₹ 3,00,000 - 3,50,000",Ahmedabad
SAP SD Consultant,INTINERI INFOSOL PRIVATE LIMITED,"₹ 4,00,000 - 15,00,000",Pune
Big Data Lead,Populace World Solutions,"₹ 20,00,000 - 25,00,000",Pune
Curriculum Developer,Podar Education Network,"₹ 4,80,000 - 5,40,000",Parel
Travel Executive,Aertrip,Competitive salary,Delhi
Medical Devices And Equipment Sales,ABABIL HEALTHCARE,"₹ 2,16,000 - 3,60,000",Raichur
Medical Devices And Equipment Sales,ABABIL HEALTHCARE,"₹ 2,16,000 - 3,60,000",Bangalore
Medical Devices And Equipment Sales,ABABIL HEALTHCARE,"₹ 2,16,000 - 3,60,000",Mangalore
Vertical Head,Agrinext Consultancy,"₹ 31,00,000 - 34,00,000","Pune, Bangalore"
Executive - Design,Jio World Centre,Competitive salary,Mumbai
Lead Nursing Quality Excellence (Deputy GM),Sir H.N. Reliance Foundation Hospital & Research Centre,"₹ 18,00,000 - 28,00,000",Mumbai
MS Intune & AZURE Expertise With Any Sales Exp,Sana Search International,"₹ 7,00,000 - 10,00,000","Delhi, Gurgaon"
Restaurant Manager,Gamut HR Solutions,"₹ 4,20,000 - 5,40,000",Hyderabad
Office Associate,Futuremug,Competitive salary,Thiruvananthapuram
Financial Advisor,Money Honey Financial Services Private Limited,Competitive salary,Mumbai
Sales Relationship Manager,Walkfin,"₹ 3,00,000 - 6,00,000","Ahmedabad, Delhi, Indore, Pune, Surat, Mumbai"
City Head-Sales,Walkfin,"₹ 6,00,000 - 10,00,000","Ahmedabad, Delhi, Indore, Pune, Surat, Navi Mumbai, Mumbai"
Marketplace Account Manager,Advertising Saga,Competitive salary,Work from home
CA Freshers,MARGADARSI CHIT FUND PRIVATE LIMITED,"₹ 9,00,000 - 10,00,000",Bangalore
Pre-Primary And Primary School Expert - Hyderabad,LIFE EDUCARE Pvt. Ltd.,"₹ 9,00,000 - 12,00,000",Hyderabad
"Product Owner (CRM Implemtn, CSPO/PSPO Certified)",Sir H.N. Reliance Foundation Hospital & Research Centre,Competitive salary,Mumbai
Jewelry Sales Executive,Gamut HR Solutions,"₹ 3,00,000 - 4,20,000",Hyderabad
Finance Controller - Manufacturing Industry,Gamut HR Solutions,"₹ 8,40,000 - 9,60,000",Hyderabad
Sales Manager - Industrial Sales,Rawalwasia Groups,"₹ 4,20,000 - 4,80,000","Ahmedabad, Gandhidham, Mumbai, Nagpur"
Sr. Executive - Coal Traders,Rawalwasia Groups,"₹ 2,40,000 - 3,00,000",Surat
Sr. Operations & Maintenance Manager (Solar),Rawalwasia Groups,"₹ 8,00,000 - 10,00,000","Ankleshwar, Bharuch"
Sales Executive- Water Treatment,Fivebro Water Services Private Limited,"₹ 3,00,000 - 6,00,000","Ahmedabad, Chennai, Delhi, Mumbai, Bangalore"
Medical Devices And Equipment Sales,ABABIL HEALTHCARE,"₹ 2,16,000 - 3,00,000",Nellore
Rooms Division Manager (RDM-Fem Candidate Only),Dolphin Hotels Private Limited Ramoji Film City,Competitive salary,Hyderabad
Account Executive,Ganpati Bharat Pvt. Ltd,"₹ 3,60,000 - 4,20,000","Ukhrul, Jaipur"
Sales Executive For Bangalore Airport,Zimson Watches,"₹ 2,50,000 - 5,00,000",Bangalore
"Software Developer-PLC Programmer(Hadapsar,Pune)",Suzlon Group,Competitive salary,Pune
Full Stack Engineer,Talent Corner HR Services Private Limited,"₹ 20,00,000 - 35,00,000",Mumbai
QA/QC Engineer (TEKLA/SDS2),STRUZON TECHNOLOGIES,Competitive salary,Coimbatore
Cieri- Client/Agent Concierge Services,Naukridaddy HR Solutions Private Limited,"₹ 5,00,000 - 7,00,000",Bangalore
Fitter,Doshion Polyscience Private Limited,Competitive salary,"Ahmedabad, Sanand"
Jr UX/UI Designer,Huemn,"₹ 2,40,000 - 3,00,000",Hyderabad
Aptitude Trainer Trichy,Care Group Of Institutions,Competitive salary,Tiruchirappalli
College Bus Driver Trichy,Care Group Of Institutions,Competitive salary,Tiruchirappalli
Compliance Manager,Gamut HR Solutions,"₹ 8,40,000 - 9,60,000",Hyderabad
Senior Sap MM Consultant,INTINERI INFOSOL PRIVATE LIMITED,"₹ 9,00,000 - 24,00,000",Pune
Accounts Payable (AP),Suzlon Group,Competitive salary,Pune
Quality Analyst,Biz4Group LLC,"₹ 2,40,000 - 3,60,000",Jaipur
Sales Marketing Executive,Sarada Infra Equipment LLP,Competitive salary,Navi Mumbai
Designer,Crafts By Elegance,Competitive salary,Bangalore
Site Engineer,Crafts By Elegance,Competitive salary,Bangalore
Management Information System Executive,Aertrip,"₹ 2,40,000 - 3,60,000",Delhi
Sales Relationship Manager,Walkfin,"₹ 2,50,000 - 7,00,000","Ahmedabad, Chennai, Delhi, Pune, Surat, Navi Mumbai, Mumbai"
Human Resources Manager,Accrete Infosolution Technologies LLP,Competitive salary,Gandhinagar
Preschool Teacher,Openhouse,"₹ 4,20,000 - 6,00,000",Bangalore
Quantity Estimator,GREATBELL HR Consultancy Services PVT LTD,"₹ 4,20,000 - 6,60,000","Kottayam, Thiruvananthapuram, Thrissur, Alappuzha, Ernakulam, Cochin"
Dermatologist,Spandana Hospital,Competitive salary,Bangalore
Level 3 Network Engineer,Kiash Solutions LLP,"₹ 20,00,000 - 25,00,000",Hyderabad
Community Manager,Zing Restaurants,"₹ 4,56,000 - 4,80,000",Kolkata
Program Associate,GREATBELL HR Consultancy Services PVT LTD,"₹ 4,80,000 - 8,00,000","Coimbatore, Kottayam, Thiruvananthapuram, Thrissur, Ernakulam, Bangalore, Cochin"
Project Manager,V3Cube,"₹ 10,00,000 - 12,00,000",Ahmedabad
Sr Cyber Security Analyst,Kiash Solutions LLP,"₹ 10,00,000 - 15,00,000",Bangalore
MARKETING PROGRAM ASSOCIATE,GREATBELL HR Consultancy Services PVT LTD,"₹ 6,00,000 - 8,00,000","Chennai, Thiruvananthapuram, Thrissur, Ernakulam, Bangalore, Cochin"
Full Stack Engineer Dotnet,Kiash Solutions LLP,"₹ 12,00,000 - 20,00,000",Work from home
Accounts,Almighty HRD Consultants,"₹ 6,00,000 - 7,20,000",Coimbatore
Mechanical Design Engineer,Almighty HRD Consultants,Competitive salary,Coimbatore
Dotnet Azure Developer,Kiash Solutions LLP,"₹ 10,00,000 - 15,00,000","Ahmedabad, Anand, Vadodara"
HR Executive,Naukridaddy HR Solutions Private Limited,"₹ 2,40,000 - 3,00,000","Noida, Bangalore"
Human Resources Compliance Executive,Sturlite Electric Pvt Ltd.,Competitive salary,Bangalore
Recruiter - IT Hiring,I4 Consulting : Reimagining HR Blueprints,Competitive salary,Bangalore
International Marketing Manager- Leather Products,Tesk Training Consultancy,"₹ 3,60,000 - 8,40,000",Kolkata
Field Service Engineer - UPS And Batteries,Gamut HR Solutions,"₹ 2,40,000 - 3,60,000",Visakhapatnam
Assistant Store Manager - Luxury Stores,Gamut HR Solutions,"₹ 3,00,000 - 4,20,000",Hyderabad
System Cloud Admin,Kiash Solutions LLP,"₹ 8,00,000 - 11,00,000","Ahmedabad, Vadodara, Bharuch"
Java Developer With Selenium,GoldenHire Consultancy,Competitive salary,"Gurgaon, Noida, Bangalore"
Executive Assistant - Manufacturing Sector,Gamut HR Solutions,"₹ 3,00,000 - 6,60,000",Hyderabad
Assistant Professor Management Studies Trichy,Care Group Of Institutions,"₹ 3,00,000 - 4,80,000",Tiruchirappalli
Tour Executive,Podar Education Network,"₹ 3,60,000 - 4,80,000","Ahmedabad, Gandhinagar, Vadodara"
RO Water Plant Maintenance Engineer Trichy,Care Group Of Institutions,Competitive salary,Tiruchirappalli
F&B Cost Controller,Moustache Escapes,Competitive salary,Jaipur
Sr. Azure Data Engineer,ALIQAN Technologies,"₹ 12,00,000 - 13,20,000",Work from home
Front Desk Executive - Receptionist,Podar Education Network,Competitive salary,Vadodara
Jr. Engineer- Greenhouse /3D Draftsperson,Agrinext Consultancy,Competitive salary,Pune
Junior Executive - Customer Support,Vilvah Store Private Limited,Competitive salary,Coimbatore
Creative Strategy Lead,WhizCo | Creative Tech And Influencer Marketing,Competitive salary,Delhi
National Manager - Channel Development,Fivebro Water Services Private Limited,"₹ 6,50,000 - 7,20,000",Ahmedabad
Sales Representative,H&M Virtual Services Private Limited,"₹ 3,00,000 - 6,00,000",Vadodara
Software Engineer In Test,GoldenHire Consultancy,Competitive salary,"Gurgaon, Noida, Bangalore"
Sr. Design Engineer/ Manager - Network Cabling,GoldenHire Consultancy,Competitive salary,"Chennai, Pune, Hyderabad, Mumbai, Noida"
R2R Analyst- Zomato- Immediate Joiner,Storch Consultancy Private Limited,"₹ 2,40,000 - 3,60,000",Gurgaon
Sales Consultant@Dayshift/Virtual Round,Sana Search International,"₹ 6,50,000 - 8,00,000",Gurgaon
Sr. .Net Blazor Developer,Web Idea Solution LLP,"₹ 10,00,000 - 12,00,000",Work from home
Digital Content Writer,Blurbpoint Media,Competitive salary,Ahmedabad
International Taxation,Treeline Business Solutions Pvt. Ltd.,Competitive salary,Chennai
Tender Executive,INNOVISION Limited,Competitive salary,Gurgaon
Assistant Sales Manager,INNOVISION Limited,Competitive salary,Gurgaon
Purchase Coordinator,Podar Education Network,"₹ 3,60,000 - 4,20,000",Vadodara
Human Resources (HR),Amaara Botanicals Pvt Ltd,"₹ 3,00,000 - 3,60,000",Gurgaon
HIRIS Implementation Specialist,Sir H.N. Reliance Foundation Hospital & Research Centre,Competitive salary,Mumbai
SAP SD Consultant,INTINERI INFOSOL PRIVATE LIMITED,"₹ 9,00,000 - 22,00,000",Pune
Fire & Safety Officer,Sir H.N. Reliance Foundation Hospital & Research Centre,Competitive salary,Mumbai
Biomedical Engineer,Sir H.N. Reliance Foundation Hospital & Research Centre,Competitive salary,Mumbai
Sr. Manager - Sales (METRO Cash & Carry India),Reliance Retail,Competitive salary,Mumbai
Recovery Officers,MARGADARSI CHIT FUND PRIVATE LIMITED,Competitive salary,Tirupati
Sr. Manager - Sales (METRO Cash & Carry India),Reliance Retail,"₹ 10,00,000 - 15,00,000",Hyderabad
Project Coordinator - Ahmedabad,V3Cube,"₹ 3,00,000 - 6,00,000",Ahmedabad
Quality Assurance Tester,Money Honey Financial Services Private Limited,Competitive salary,Mumbai
WalkIn For AM/Manager - Talent Acquisition - Malad,Illusion Dental Laboratory,"₹ 4,00,000 - 12,00,000",Mumbai
Assistant Professor ECE Trichy,Care Group Of Institutions,"₹ 2,40,000 - 4,80,000",Tiruchirappalli
Assistant Professor Maths Trichy,Care Group Of Institutions,"₹ 2,40,000 - 3,60,000",Tiruchirappalli
Graphic & Video Designer,Sri Sai Overseas Recruitment,"₹ 3,00,000 - 4,20,000",Naroda
SDS2 Checker,STRUZON TECHNOLOGIES,Competitive salary,Coimbatore
BDM With AI- First Business Process Company In US,Propella Consulting Group,Competitive salary,"New York (United States), Chicago (United States), Allendale (United States), Columbus (United States), Washington (United States), Dallas County (United States)"
Associate Researcher,Bharrgava Global,"₹ 2,00,000 - 3,60,000",Delhi
MS Dynamics F&O Developers,Admin Looks,"₹ 13,00,000 - 18,00,000","Delhi, Noida"
Lightening Designer,Gamut HR Solutions,"₹ 3,60,000 - 4,80,000",Hyderabad
Interiors Sales Manager,Gamut HR Solutions,"₹ 4,20,000 - 6,00,000",Hyderabad
Digital Marketing Internship,Gamut HR Solutions,Competitive salary,Hyderabad
Microbiologist,Sir H.N. Reliance Foundation Hospital & Research Centre,Competitive salary,Mumbai
Executive Assistant To Managing Director,Technocrats Plasma Systems Private Limited,"₹ 4,00,000 - 6,00,000",
Treasury & Banking Operations Specialist,Treeline Business Solutions Pvt. Ltd.,Competitive salary,Chennai
FMCG Field Sales Executive,Komal Food Product,"₹ 2,16,000 - 3,00,000","Bhubaneswar, Cuttack"
Cloud Solution Architect,Jio,Competitive salary,"Delhi, Pune, Mumbai, Bangalore"
Dermatologist,Spandana Hospital,Competitive salary,Bangalore
Software Developer ASP.NET MVC,VITAL INTELLIGENCE TECHNOLOGY PRIVATE LIMITED,"₹ 3,60,000 - 8,40,000",Ahmedabad
System Network Administrator,Xomic Infotech Private Limited,"₹ 2,50,000 - 3,00,000",Ahmedabad
International Marketing Manager,Tesk Training Consultancy,"₹ 3,00,000 - 7,20,000",Kolkata
Showroom Manager - Reliance Jewels,Reliance Retail,Competitive salary,"Gorakhpur, Jodhpur, Noida"
Director- Wealth Management - Business Development,JR Laddha Financial Services Pvt. Ltd.,"₹ 40,00,000 - 45,00,000","Delhi, Bangalore"
SENIOR TECHNICAL ENGINEER  Huawei Storage,Intertec Softwares Pvt Ltd,Competitive salary,Indore
Technical Content Writer,Blurbpoint Media,Competitive salary,Ahmedabad
Sales Manager -Interior Industry,KBros Aristo Pvt Ltd,Competitive salary,Bangalore
Senior Automation Engineer,IC Data,Competitive salary,Hyderabad
NVOCC Sales-SC Lines Shipping & Logistics Pvt.Ltd,SC Lines Shipping & Logistics Pvt Ltd.,"₹ 4,20,000 - 4,80,000",Navi Mumbai
Packaging Research Associate,Vilvah Store Private Limited,Competitive salary,Coimbatore
FMCG Sales Executive,Komal Food Product,Competitive salary,"Bhubaneswar, Cuttack"
Senior Software Engineer,Vyapar,Competitive salary,
Health Safety Environment Advisor,Sri Sai Overseas Recruitment,"₹ 12,00,000 - 14,00,000","Ahmedabad, Surat, Vadodara"
Cloud Application Migration Architect,Jio,Competitive salary,"Gurgaon, Mumbai, Bangalore"
US Freight Broker (Logistics),Woodsforce Solutions,"₹ 4,00,000 - 6,00,000","Chandigarh, Kharar, Mohali"
Purchase Executive- Packaging,Amaara Botanicals Pvt Ltd,"₹ 2,60,000 - 3,00,000",Gurgaon
Courier And Sampling,Amaara Botanicals Pvt Ltd,"₹ 2,00,000 - 2,20,000",Gurgaon
Application Support & Site Reliability Engineer,Hire Wings,"₹ 4,00,000 - 25,00,000",Hyderabad
Back End Developer,Lifesight,Competitive salary,Bangalore
Store Management,Almighty HRD Consultants,"₹ 4,00,000 - 5,00,000",Hosur
QUALITY MANAGER,Almighty HRD Consultants,"₹ 10,00,000 - 12,00,000",Hosur
Sales Executive- Water Treatment,Fivebro Water Services Private Limited,"₹ 3,00,000 - 6,00,000","Ahmedabad, Chennai, Delhi, Mumbai, Bangalore"
Sales Executive- SAS,Reliserv Solution,Competitive salary,
Sales Executive - Control Relay Panels,Reliserv Solution,Competitive salary,
Hotel Manager,Gamut HR Solutions,"₹ 3,00,000 - 3,60,000",Visakhapatnam
Google Ads Specialist,Digital Mojo - Branding And Digital Marketing Agency In Hyderabad,Competitive salary,Hyderabad
Business Development Manager - US Market,Unico Connect,Competitive salary,Work from home
Guest Relations Exec,Amberstone Properties,Competitive salary,Bangalore
Kubernetes Developer,Jio,Competitive salary,"Delhi, Gurgaon, Noida"
Learning And Development - HR Trainee (Fresher),Sir H.N. Reliance Foundation Hospital & Research Centre,Competitive salary,Mumbai
Human Resources Executive,Sturlite Electric Pvt Ltd.,Competitive salary,Bangalore
Solution Consultant,I4 Consulting : Reimagining HR Blueprints,Competitive salary,Work from home
Business Development Officer,MARGADARSI CHIT FUND PRIVATE LIMITED,Competitive salary,
Business Development Officer,MARGADARSI CHIT FUND PRIVATE LIMITED,"₹ 2,16,000 - 2,40,000",Visakhapatnam
Primary Teacher At PIS Kankavli,Podar Education Network,"₹ 2,64,000 - 3,00,000",
Storage Backup SME,Jio,Competitive salary,"Gurgaon, Mumbai, Bangalore"
Senior BIM Engineer - Electrical,NV5 Mission Critical,Competitive salary,Bangalore
PHP Developer - Ahmedabad,V3Cube,"₹ 3,00,000 - 6,00,000",Ahmedabad
Project Manager,INTINERI INFOSOL PRIVATE LIMITED,"₹ 15,00,000 - 45,00,000",Work from home
Assistant Professor Visual Communication,Care Group Of Institutions,Competitive salary,Tiruchirappalli
Purchase & Procurement Manager,Refining Skills Academy,"₹ 3,60,000 - 4,20,000",Bangalore
Electroencephalogram Technician,Spandana Hospital,Competitive salary,Bangalore
"Stores Manager - EcoSoch - Kodigehalli, BLR",Refining Skills Academy,"₹ 3,00,000 - 3,60,000",Bangalore
People Operations Ninja (HR Executive),Refining Skills Academy,Competitive salary,Bangalore
Quality Shift Incharge - Navi Mumbai Location,Reliance Retail,"₹ 4,00,000 - 7,00,000",Navi Mumbai
Hiring-Podar International-Thane-Nerul-Powai,Podar Education Network,Competitive salary,"Thane, Navi Mumbai"
Student Counsellor,GREATBELL HR Consultancy Services PVT LTD,"₹ 3,00,000 - 4,80,000",Kochi
Digital Marketing - Remote,PromptCloud,Competitive salary,Work from home
Technical Specialist - Windows,Intertec Softwares Pvt Ltd,Competitive salary,
Business Development Representative(BDR)-US,PromptCloud,Competitive salary,Work from home
MIS Executive,Gamut HR Solutions,"₹ 3,00,000 - 4,20,000",Hyderabad
Techno-Functional Product Manager(Gen Insurance),Intertec Softwares Pvt Ltd,Competitive salary,
Backup And Storage Engineer,Intertec Softwares Pvt Ltd,Competitive salary,
Accounts & Business Studies Educator,Refining Skills Academy,"₹ 3,00,000 - 4,80,000",
Appian Architect,INTINERI INFOSOL PRIVATE LIMITED,"₹ 12,00,000 - 45,00,000",Work from home
Purchasing Manager,Podar Education Network,"₹ 6,00,000 - 8,40,000",Mumbai
Placement Officer,GREATBELL HR Consultancy Services PVT LTD,"₹ 4,20,000 - 4,80,000","Kottayam, Kozhikode, Thiruvananthapuram, Thrissur, Alappuzha, Ernakulam, Cochin"
Credentialing Specialist,Sri Sai Overseas Recruitment,Competitive salary,Vadodara
Sales Head-Air Compressor,Sri Sai Overseas Recruitment,"₹ 5,00,000 - 8,00,000",Ahmedabad
PYP Teacher,LIFE EDUCARE Pvt. Ltd.,Competitive salary,Mumbai
Senior Resident,Sir H.N. Reliance Foundation Hospital & Research Centre,Competitive salary,Mumbai
Node.js + Angular Developer,Admin Looks,"₹ 4,00,000 - 5,50,000","Delhi, Noida"
Field Executive,GOVIAFLY CARGO AND LOGISTICS PRIVATE LIMITED,Competitive salary,
Assistant Professor Computer Science Engineering,Care Group Of Institutions,"₹ 3,24,000 - 6,00,000",Tiruchirappalli
IMOS - CAD/CAM Designer,Gamut HR Solutions,"₹ 3,60,000 - 7,20,000",Hyderabad
Purchase Executive - Manufacturing,Gamut HR Solutions,"₹ 3,00,000 - 4,20,000",Hyderabad
Physiotherapist,JOGO Health Pvt Ltd,"₹ 3,00,000 - 4,50,000",Coimbatore
CodeIgniter Developer,Web Idea Solution LLP,Competitive salary,Kolkata
3D Designer Furniture,Rentickle,"₹ 4,00,000 - 7,00,000",Gurgaon
Store Manager,Sturlite Electric Pvt Ltd.,Competitive salary,Virar
Product Marketing Manager - Remote,PromptCloud,Competitive salary,Work from home
Actor Model,GOVIAFLY CARGO AND LOGISTICS PRIVATE LIMITED,Competitive salary,
Human Resources Executive,Agrinext Consultancy,"₹ 3,60,000 - 4,80,000",Pune
Marketing Executive - Tours And Travels,Gamut HR Solutions,"₹ 2,40,000 - 3,00,000",Hyderabad
Senior SEO Executive,PROHED,Competitive salary,Gurgaon
Operetional Process Management Executive,Web Idea Solution LLP,Competitive salary,Kolkata
Sales Development Representative (SDR),I4 Consulting : Reimagining HR Blueprints,"₹ 6,00,000 - 7,50,000",Bangalore
Receptionist/Front Office Assistant,MARGADARSI CHIT FUND PRIVATE LIMITED,"₹ 2,16,000 - 2,40,000",Mangalagiri
PRESALES CONSULTANT  COMPUTE INFRASTRUCTURE,Intertec Softwares Pvt Ltd,Competitive salary,
Preprimary Teacher-Podar Education Network-Titwale,Podar Education Network,Competitive salary,"Dombivli, Kalyan"
Google Ads Expert,Satya Satellite IT Solutions,"₹ 2,00,000 - 5,00,000",Jaipur
AI Integration Specialist (R&D),Aces Global Consulting Pvt Ltd,"₹ 7,00,000 - 12,00,000",Delhi
TGT & PRT Teacher-Podar International School-Thane,Podar Education Network,Competitive salary,Thane
Creative Designer / Video Editor,MagikKraft,Competitive salary,Ahmedabad
Account Executive,Sturlite Electric Pvt Ltd.,Competitive salary,Patna
Senior Associate,SustainEdge Global,"₹ 3,00,000 - 4,00,000",Gandhinagar
Human Resources Executive,Podar Education Network,"₹ 2,40,000 - 4,20,000",Kolhapur
Jr. Accounts Executive,Unified GlobalTech (I) Pvt Ltd,"₹ 2,50,000 - 3,00,000",
SAP BASIS Consultant,Cloudious LLC,"₹ 6,00,000 - 13,00,000","Chennai, Bangalore"
Renewals Executive,Rentickle,"₹ 3,00,000 - 4,00,000",Gurgaon
Warehouse Operations,Rentickle,"₹ 3,00,000 - 4,00,000",Gurgaon
Associate Tech Lead  Next.js | Node.js | MySQL,Intertec Softwares Pvt Ltd,Competitive salary,
General Manager Finance,GREATBELL HR Consultancy Services PVT LTD,"₹ 24,00,000 - 36,00,000","Chennai, Thiruvananthapuram, Hyderabad, Mumbai, Ernakulam, Bangalore, Cochin"
Director Of Engineering,IC Data,Competitive salary,Hyderabad
Telecom Coordinator,Intertec Softwares Pvt Ltd,Competitive salary,Indore
Radiology Technician,Spandana Hospital,Competitive salary,Bangalore
Freight Brokerage (US Logistics),Woodsforce Solutions,"₹ 5,00,000 - 6,00,000","Chandigarh, Kharar, Mohali"
Helmet Interior Designer,Aces Global Consulting Pvt Ltd,"₹ 10,00,000 - 12,00,000",
Content Creator,Sri Landstar Property Developers PVT LTD,Competitive salary,Coimbatore
SAP ABAP Consultant,INTINERI INFOSOL PRIVATE LIMITED,"₹ 7,00,000 - 20,00,000",Pune
Customer Support Executive,ALIQAN Technologies,Competitive salary,Work from home
WebDriver IO Automation Tester Lead,ALIQAN Technologies,Competitive salary,Work from home
General Manager Architecture,Placement Partners Consulting,"₹ 50,00,000 - 65,00,000",Bangalore
Front-end Developer,Foodbuddies,Competitive salary,Chennai
Sales Manager - Hardware Trading,KBros Aristo Pvt Ltd,"₹ 5,00,000 - 7,00,000",Ahmedabad
Assistant Manager  Digital Marketing,MARGADARSI CHIT FUND PRIVATE LIMITED,"₹ 4,20,000 - 4,80,000",Hyderabad
Food & Beverage Manager,Dolphin Hotels Private Limited Ramoji Film City,Competitive salary,Hyderabad
Laravel Developer,NCode Technologies Inc.,"₹ 2,40,000 - 5,40,000",Ahmedabad
Java Architect,Almighty HRD Consultants,"₹ 20,00,000 - 35,00,000",Bangalore
IAM Podcast Powered By Iamops.io,Zensar Technologies,Competitive salary,"Gurgaon, Hyderabad, Noida"
L2 Support,Zensar Technologies,Competitive salary,Work from home
Interview Trainer,Career Craft Consultants India Private Limited,Competitive salary,Vadodara
Senior Developer - ReactJS Full Stack,ALIQAN Technologies,Competitive salary,
Study Abroad Counselor,Career Craft Consultants India Private Limited,"₹ 2,50,000 - 5,00,000",Ahmedabad
Senior Python ETL Developer/Lead,ALIQAN Technologies,Competitive salary,
Odoo Developers,VITAL INTELLIGENCE TECHNOLOGY PRIVATE LIMITED,Competitive salary,Ahmedabad
Business Development Executive - Ahmedabad,V3Cube,"₹ 4,00,000 - 7,00,000",Ahmedabad
Nurse And Admission Counselor,Podar Education Network,Competitive salary,Miraj
IMOS Designer,Gamut HR Solutions,"₹ 3,00,000 - 4,80,000",Hyderabad
Lab Grown Diamond Sales Manager,Gamut HR Solutions,"₹ 4,80,000 - 7,20,000",Hyderabad
Field Sales Officer,SMIB (Social Media Influencers & Brands),Competitive salary,"Alwar, Bikaner, Jodhpur, Kota, Udaipur, Sikar, Jaipur"
Import/Export Operations,Bharrgava Global,"₹ 3,60,000 - 4,80,000",Faridabad
Freelance Interviewer-Full Stack (Optimizely),Futuremug,"₹ 6,24,000 - 12,48,000",Thiruvananthapuram
Pvt. Cloud SME/Architect,Jio,"₹ 20,00,000 - 40,00,000","Delhi, Mumbai, Bangalore"
Pre-Sales Consultants,Jio,Competitive salary,"Delhi, Navi Mumbai, Bangalore"
Sales Executive- Chemical Industry,Tesk Training Consultancy,Competitive salary,Ahmedabad
Teamcenter Admin,Thinkinnov Solution Technologies Private Limited,"₹ 14,00,000 - 16,00,000","Chennai, Hyderabad, Noida, Bangalore"
"Application & Sales Support Engineer, Laser",Technocrats Plasma Systems Private Limited,"₹ 6,00,000 - 10,00,000",
Audit Assistant,Almighty HRD Consultants,"₹ 3,00,000 - 3,60,000",Bangalore
Fashion Conusltant,Reliance Retail,"₹ 4,00,000 - 4,30,000","Ahmedabad, Chennai, Delhi, Indore, Jaipur"
Territory Sales Manager,SMIB (Social Media Influencers & Brands),"₹ 3,00,000 - 5,40,000","Alwar, Bikaner, Jodhpur, Kota, Udaipur, Sikar, Jaipur"
Robo & Automation Application Engrs.( Entry-Level),Technocrats Plasma Systems Private Limited,"₹ 4,00,000 - 8,00,000",
Social Media & Campaign Designer,Bharat Business Innovations Pvt Ltd,"₹ 7,00,000 - 9,00,000","Navi Mumbai, Mumbai"
Data Analyst,Vyapar,Competitive salary,
Quality Assurance Manager,Reliance Retail,"₹ 26,00,000 - 35,00,000",
.Net React With AWS Developer,Web Idea Solution LLP,"₹ 8,00,000 - 12,00,000",Work from home
Legal Associate  Fresher,Planet Green Infra Private Limited,"₹ 2,16,000 - 2,88,000",Hyderabad
Business Development Executive- WFH,Tesk Training Consultancy,Competitive salary,Work from home
Account Executive,GOVIAFLY CARGO AND LOGISTICS PRIVATE LIMITED,Competitive salary,
